Date,Open,High,Low,Close,Volume
2023-06-01,60.90,63.50,59.66,61.85,35361433
2023-06-02,63.50,64.22,61.89,63.08,45601681
2023-06-05,64.42,65.54,62.79,64.20,42789210
2023-06-06,62.01,63.91,60.50,62.71,21323662
2023-06-07,63.94,65.01,62.14,62.93,35274187
2023-06-08,62.53,63.92,61.52,62.83,23655342
2023-06-09,65.41,68.21,60.99,64.60,38563184
2023-06-12,62.62,64.31,61.06,63.21,25131825
2023-06-13,64.90,66.13,63.10,64.85,45100867
2023-06-14,62.78,64.18,60.84,62.90,44515559
2023-06-15,61.73,64.20,60.25,62.86,46023291
2023-06-16,64.86,68.73,62.66,64.42,26101511
2023-06-19,62.91,64.83,61.07,63.62,28225185
2023-06-20,65.39,68.13,62.25,65.17,46528762
2023-06-21,66.09,67.47,63.27,65.63,34048517
2023-06-22,65.00,66.55,62.18,64.41,20146502
2023-06-23,63.61,65.51,61.80,63.92,37812943
2023-06-26,63.81,65.29,62.63,64.24,43345764
2023-06-27,63.97,65.39,60.67,63.75,33371170
2023-06-28,65.73,68.12,64.52,65.46,32456788
2023-06-29,63.52,66.18,62.30,64.29,23336200
2023-06-30,67.54,69.87,64.68,66.46,48560792
2023-07-03,65.14,66.41,63.36,65.33,37346016
2023-07-04,64.68,66.60,62.36,64.33,30136276
2023-07-05,64.87,65.62,63.13,64.59,41409112
2023-07-06,65.94,68.08,64.47,66.28,47866062
2023-07-07,65.87,66.95,63.69,65.19,43400236
2023-07-10,65.77,66.55,63.97,65.19,23180332
2023-07-11,67.32,69.12,65.01,66.48,27235954
2023-07-12,65.02,68.12,63.58,65.94,45596534
2023-07-13,66.58,69.74,63.24,66.53,42491772
2023-07-14,66.63,68.58,63.31,65.95,31932637
2023-07-17,64.65,66.95,63.28,65.66,47659343
2023-07-18,67.44,69.12,64.11,67.84,35965186
2023-07-19,68.47,71.12,65.20,67.85,27561352
2023-07-20,65.11,67.74,63.21,65.49,41401652
2023-07-21,67.36,69.30,65.58,66.80,23985989
2023-07-24,66.69,68.86,64.85,66.87,38642903
2023-07-25,65.20,67.94,63.17,66.72,44088241
2023-07-26,65.96,68.07,64.76,66.07,24650976
2023-07-27,67.30,69.99,64.84,67.45,32428861
2023-07-28,65.16,68.04,63.89,66.45,36746480
2023-07-31,66.83,69.31,65.77,66.64,40458797
2023-08-01,68.59,69.46,67.57,68.81,42285660
2023-08-02,67.66,69.28,65.70,68.01,43949782
2023-08-03,68.34,71.10,64.23,67.46,47388667
2023-08-04,68.66,71.11,64.74,67.79,23042821
2023-08-07,68.23,70.51,65.24,67.92,42740687
2023-08-08,68.23,71.48,65.80,68.24,43278634
2023-08-09,67.23,70.02,63.73,67.04,41729765
2023-08-10,70.17,71.87,68.32,69.39,23846111
2023-08-11,68.27,69.18,66.16,67.33,23749372
2023-08-14,70.17,71.84,67.61,70.00,44997171
